video_id,video_name,video_image_link,video_link,author_name,author_image_link,author_link
1,LEE SIN MONTAGE - BEST LEE SIN | Ez LoL Plays #966,https://i.ytimg.com/vi/TyRikFd7XLg/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAbpmpiFtttrPJg5TxW3s027FISuQ,/watch?v=TyRikFd7XLg,Ez LoL Plays,https://yt3.ggpht.com/azCFME3K_-2Vp0kaZg3qLjwysWq6BUb8wSEV_gQr8c9TkdFxWSuIKFlh1vESOEOP6g12q8b5dlA=s68-c-k-c0x00ffffff-no-rj,/@EzLoLPlays
2,QR code hoạt động thế nào? Giải thích siêu dễ hiểu,https://i.ytimg.com/vi/v-eUWoHL5i4/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDU9FdRFKBGrhbS8Fdb_qzLXNetsw,/watch?v=v-eUWoHL5i4,KIẾN THỨC THÚ VỊ Official,https://yt3.ggpht.com/cfpW83i5yoWeevAFdmW7hiyzIccHQMTtjNMGm84vVv6SalXZA9PZUXRwbGdpXZapwnZ7-sNKNQ=s68-c-k-c0x00ffffff-no-rj,/@KienThucThuVi
3,"Một người phụ nữ thích NGOÁY TAI, hãy xem điều gì xảy ra với XƯƠNG SỌ cô ấy!?",https://i.ytimg.com/vi/5LFaHDRcUqU/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAqEh17L2Xxq7xDfpDRrW3TzLEf9A,/watch?v=5LFaHDRcUqU,TACA CHANNEL NEW,https://yt3.ggpht.com/tEamkqKIL8AlMkyHPJZqDNV8qPT7bkkKX3BvBDq7zcvHoK8mFmdcDPVgSy3tqZeQDigjBKg9=s68-c-k-c0x00ffffff-no-rj,/@taca
4,Giải thích toàn bộ 50+ sản phẩm của Adobe trong 10 phút,https://i.ytimg.com/vi/7W0ISI3yqwo/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD4WnboxPgXsfou853siJl-eX3jHQ,/watch?v=7W0ISI3yqwo,Humtog,https://yt3.ggpht.com/WjhprgIw8KZJnBbe02suZ9LFKWpL5zxmpvZAc0sykfFfKZy2-3cd1xzW8cV5WBbRc5IVgHtk=s68-c-k-c0x00ffffff-no-rj,/@Humtog
5,Bài 6 8 Hướng dẫn cài đặt chia sẻ dữ liệu NFS trên Ubuntu,https://i.ytimg.com/vi/llpAuR2ZxjA/hq720.jpg?sqp=-oaymwE2CNAFEJQDSFXyq4qpAygIARUAAIhCGAFwAcABBvABAfgB_gmAAtAFigIMCAAQARh_IB0oWjAP&rs=AOn4CLAPnSMFbMuyyDmQGjvYWcUdSaLPgg,/watch?v=llpAuR2ZxjA,VGO Channel,https://yt3.ggpht.com/bZqYF_ZnW46ltDpdPSppMLO-GHRoFvQZFg4U4cBczqmIhcHbun-wjlhYIE3cepQMQZJIAbZGSQ=s68-c-k-c0x00ffffff-no-rj,/@vgochannel2447
6,Âm nhạc Chillstep dành cho lập trình / Mạng / Mã hóa,https://i.ytimg.com/vi/M5QY2_8704o/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCCEDQCh5uETjQQedkAdnWkI0_Rbg,/watch?v=M5QY2_8704o,Chill Music Lab,https://yt3.ggpht.com/f_0nh3pN7GbYA1YwkuEQjX1_lRLD9ZUk3EjexYSPuOiqN298ScOcNVgGFU-AHZSmg1Yy4diG=s68-c-k-c0x00ffffff-no-rj,/@MusicLabChill
7,How To Hack Any Website!,https://i.ytimg.com/vi/c1myxWvry1I/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBF8cyrF38Sp2VUM1yghqP4v77GKQ,/watch?v=c1myxWvry1I,CyberFlow,https://yt3.ggpht.com/Pk1Bytz7vnGEb6WZDXn-flmTYHIjA3MiwiCLg2j8h43RgAWER9NxKrMbfjppQlMxhlQgSRNocQ=s68-c-k-c0x00ffffff-no-rj,/@CyberFlow10
8,Tôi đã code xong con app này theo cách nguuuuu nhất,https://i.ytimg.com/vi/PwJFhKFYEV4/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAjDvglpegFD2rAyKXHdw9Tl7T9Tg,/watch?v=PwJFhKFYEV4,Lập trình viên TV,https://yt3.ggpht.com/ytc/AIdro_kpDB1GESb4SPmOn_fTGjvYObCmrA64Q2vosZYI=s68-c-k-c0x00ffffff-no-rj,/@laptrinhvien-tv
9,IRELIA TOP #1 BEST BUILD TO 1V9 EVERYONE (THIS IS PERFECT👌) - S14 Irelia TOP Gameplay Guide,https://i.ytimg.com/vi/0xY207I80_0/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBBqz19DZxBTz7aUPuU_RRjadFipw,/watch?v=0xY207I80_0,Daveyx3 Gameplay,https://yt3.ggpht.com/ytc/AIdro_k2kOh_Cd7Z6XtvbCB8OPT1FJXKxWcl8Q57RqPHIw=s68-c-k-c0x00ffffff-no-rj,/@Daveyx3Gameplay
10,How do Computer Keyboards Work? 🤔⌨⌨🛠,https://i.ytimg.com/vi/h-NM1xSSzHQ/hq720.jpg?sqp=-oaymwEcCNAFEJQDSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB2v6-UuBEmCj2wsfKD7Vjqh-4IKw,/watch?v=h-NM1xSSzHQ,Branch Education,https://yt3.ggpht.com/4toKBJKPsAfwxy2xfr_EQJ7CuHpLvZa4eux6T2TAf8EU25uH_G9gbUA9djqaCrTjkIESnPjzww=s68-c-k-c0x00ffffff-no-rj,/@BranchEducation
